Id,State,PercentCurrent,AreaCurrent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,Name,AreaMiles,ReleaseDate
8669244,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,4/8/03
8669245,NE,100,563.54,0,0,1,4,D3  ,Adams County,563.54,4/8/03
8678459,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,4/15/03
8678460,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,4/15/03
8678461,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,4/15/03
8678462,NE,100,563.54,0,0,1,4,D3  ,Adams County,563.54,4/15/03
8687665,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,4/22/03
8687666,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,4/22/03
8687667,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,4/22/03
8687668,NE,100,563.54,0,0,1,4,D3  ,Adams County,563.54,4/22/03
8696948,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,4/29/03
8696949,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,4/29/03
8696950,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,4/29/03
8696951,NE,95.21,536.56,0,0,1,4,D3  ,Adams County,563.54,4/29/03
8706030,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,5/6/03
8706031,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,5/6/03
8706032,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,5/6/03
8714934,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,5/13/03
8714935,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,5/13/03
8723621,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,5/20/03
8723622,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,5/20/03
8732431,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,5/27/03
8732432,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,5/27/03
8741170,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,6/3/03
8741171,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,6/3/03
8750014,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,6/10/03
8750015,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,6/10/03
8758701,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,6/17/03
8758702,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,6/17/03
8767372,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,6/24/03
8786789,NE,85.31,480.77,0,0,1,1,D0  ,Adams County,563.54,7/1/03
8795147,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,7/8/03
8803331,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,7/15/03
8811524,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,7/22/03
8811525,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,7/22/03
8820029,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,7/29/03
8820030,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,7/29/03
8820031,NE,45.72,257.65,0,0,1,3,D2  ,Adams County,563.54,7/29/03
8828851,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,8/5/03
8828852,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,8/5/03
8828853,NE,39.71,223.77,0,0,1,3,D2  ,Adams County,563.54,8/5/03
8837866,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,8/12/03
8837867,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,8/12/03
8837868,NE,33.88,190.91,0,0,1,3,D2  ,Adams County,563.54,8/12/03
8847116,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,8/19/03
8847117,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,8/19/03
8847118,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,8/19/03
8856580,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,8/26/03
8856581,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,8/26/03
8856582,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,8/26/03
8856583,NE,65.25,367.7,0,0,1,4,D3  ,Adams County,563.54,8/26/03
8866067,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,9/2/03
8866068,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,9/2/03
8866069,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,9/2/03
8866070,NE,80.99,456.39,0,0,1,4,D3  ,Adams County,563.54,9/2/03
8886222,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,9/9/03
8886223,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,9/9/03
8886224,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,9/9/03
8886225,NE,77.24,435.26,0,0,1,4,D3  ,Adams County,563.54,9/9/03
8905023,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,9/16/03
8905024,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,9/16/03
8905025,NE,29.43,165.84,0,0,1,3,D2  ,Adams County,563.54,9/16/03
8914374,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,9/23/03
8914375,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,9/23/03
8914376,NE,16.72,94.24,0,0,1,3,D2  ,Adams County,563.54,9/23/03
8923717,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,9/30/03
8923718,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,9/30/03
8923719,NE,10.15,57.18,0,0,1,3,D2  ,Adams County,563.54,9/30/03
8932995,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,10/7/03
8932996,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,10/7/03
8932997,NE,12.39,69.8,0,0,1,3,D2  ,Adams County,563.54,10/7/03
8942260,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,10/14/03
8942261,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,10/14/03
8942262,NE,5.85,32.99,0,0,1,3,D2  ,Adams County,563.54,10/14/03
8951664,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,10/21/03
8951665,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,10/21/03
8951666,NE,55.92,315.13,0,0,1,3,D2  ,Adams County,563.54,10/21/03
8961079,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,10/28/03
8961080,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,10/28/03
8961081,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,10/28/03
8970515,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,11/4/03
8970516,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,11/4/03
8970517,NE,99.99,563.49,0,0,1,3,D2  ,Adams County,563.54,11/4/03
8980068,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,11/11/03
8980069,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,11/11/03
8980070,NE,98.82,556.9,0,0,1,3,D2  ,Adams County,563.54,11/11/03
8989665,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,11/18/03
8989666,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,11/18/03
8989667,NE,86.75,488.85,0,0,1,3,D2  ,Adams County,563.54,11/18/03
8999225,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,11/25/03
8999226,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,11/25/03
8999227,NE,96.13,541.75,0,0,1,3,D2  ,Adams County,563.54,11/25/03
9008709,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,12/2/03
9008710,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,12/2/03
9008711,NE,98.26,553.75,0,0,1,3,D2  ,Adams County,563.54,12/2/03
9018240,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,12/9/03
9018241,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,12/9/03
9018242,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,12/9/03
9027782,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,12/16/03
9027783,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,12/16/03
9027784,NE,99.43,560.33,0,0,1,3,D2  ,Adams County,563.54,12/16/03
9037278,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,12/23/03
9037279,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,12/23/03
9037280,NE,99.67,561.67,0,0,1,3,D2  ,Adams County,563.54,12/23/03
9046760,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,12/30/03
9046761,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,12/30/03
9046762,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,12/30/03
1982939,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,1/6/04
1982940,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,1/6/04
1982941,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,1/6/04
1992354,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,1/13/04
1992355,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,1/13/04
1992356,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,1/13/04
2001708,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,1/20/04
2001709,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,1/20/04
2001710,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,1/20/04
2010965,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,1/27/04
2010966,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,1/27/04
2010967,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,1/27/04
2020111,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,2/3/04
2020112,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,2/3/04
2020113,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,2/3/04
2029183,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,2/10/04
2029184,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,2/10/04
2029185,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,2/10/04
2038230,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,2/17/04
2038231,NE,100,563.54,0,0,1,2,D1  ,Adams County,563.54,2/17/04
2038232,NE,100,563.54,0,0,1,3,D2  ,Adams County,563.54,2/17/04
2047263,NE,100,563.54,0,0,1,1,D0  ,Adams County,563.54,2/24/04
